  [bpr_pairwise] epoch  1 | valid primary 0.5904 (GAUC 0.6521 nDCG@5 0.5288) | 3.5s
  [bpr_pairwise] epoch  2 | valid primary 0.5973 (GAUC 0.6619 nDCG@5 0.5327) | 3.6s
  [bpr_pairwise] epoch  3 | valid primary 0.6010 (GAUC 0.6671 nDCG@5 0.5350) | 3.5s
  [bpr_pairwise] epoch  4 | valid primary 0.6023 (GAUC 0.6685 nDCG@5 0.5362) | 3.4s
  [bpr_pairwise] epoch  5 | valid primary 0.6027 (GAUC 0.6690 nDCG@5 0.5364) | 3.4s
  [bpr_pairwise] epoch  6 | valid primary 0.6033 (GAUC 0.6699 nDCG@5 0.5368) | 3.4s
  [bpr_pairwise] epoch  7 | valid primary 0.6034 (GAUC 0.6698 nDCG@5 0.5370) | 3.6s
  [bpr_pairwise] epoch  8 | valid primary 0.6035 (GAUC 0.6701 nDCG@5 0.5368) | 3.6s
  [bpr_pairwise] epoch  9 | valid primary 0.6043 (GAUC 0.6710 nDCG@5 0.5376) | 3.5s
  [bpr_pairwise] epoch 10 | valid primary 0.6041 (GAUC 0.6707 nDCG@5 0.5375) | 3.6s
  [bpr_pairwise] epoch 11 | valid primary 0.6041 (GAUC 0.6708 nDCG@5 0.5373) | 3.5s
  [bpr_pairwise] epoch 12 | valid primary 0.6042 (GAUC 0.6712 nDCG@5 0.5373) | 3.5s
  [bpr_pairwise] epoch 13 | valid primary 0.6043 (GAUC 0.6709 nDCG@5 0.5378) | 3.5s
  [bpr_pairwise] epoch 14 | valid primary 0.6050 (GAUC 0.6720 nDCG@5 0.5379) | 3.5s
  [bpr_pairwise] epoch 15 | valid primary 0.6044 (GAUC 0.6710 nDCG@5 0.5379) | 3.5s
  [bpr_pairwise] epoch 16 | valid primary 0.6037 (GAUC 0.6704 nDCG@5 0.5369) | 3.5s
  [bpr_pairwise] epoch 17 | valid primary 0.6039 (GAUC 0.6705 nDCG@5 0.5372) | 3.5s
  [bpr_pairwise] epoch 18 | valid primary 0.6041 (GAUC 0.6708 nDCG@5 0.5374) | 3.5s
  [bpr_pairwise] epoch 19 | valid primary 0.6037 (GAUC 0.6705 nDCG@5 0.5369) | 3.5s
  [bpr_pairwise] epoch 20 | valid primary 0.6038 (GAUC 0.6704 nDCG@5 0.5372) | 3.5s
  [bpr_pairwise] epoch 21 | valid primary 0.6039 (GAUC 0.6705 nDCG@5 0.5372) | 3.5s
  [bpr_pairwise] epoch 22 | valid primary 0.6034 (GAUC 0.6701 nDCG@5 0.5367) | 3.5s
  [bpr_pairwise] epoch 23 | valid primary 0.6029 (GAUC 0.6693 nDCG@5 0.5364) | 3.5s
  [bpr_pairwise] epoch 24 | valid primary 0.6022 (GAUC 0.6682 nDCG@5 0.5362) | 3.4s
  [bpr_pairwise] epoch 25 | valid primary 0.6018 (GAUC 0.6681 nDCG@5 0.5355) | 3.5s
  [bpr_pairwise] epoch 26 | valid primary 0.6004 (GAUC 0.6663 nDCG@5 0.5346) | 3.4s
  [bpr_pairwise] epoch 27 | valid primary 0.6001 (GAUC 0.6658 nDCG@5 0.5344) | 3.4s
  [bpr_pairwise] epoch 28 | valid primary 0.5997 (GAUC 0.6651 nDCG@5 0.5342) | 3.5s
  [bpr_pairwise] epoch 29 | valid primary 0.5992 (GAUC 0.6644 nDCG@5 0.5340) | 3.4s
  [bpr_pairwise] epoch 30 | valid primary 0.5985 (GAUC 0.6636 nDCG@5 0.5335) | 3.6s
  [bpr_pairwise] epoch 31 | valid primary 0.5981 (GAUC 0.6631 nDCG@5 0.5332) | 3.5s
  [bpr_pairwise] epoch 32 | valid primary 0.5974 (GAUC 0.6622 nDCG@5 0.5327) | 3.6s
  [bpr_pairwise] epoch 33 | valid primary 0.5967 (GAUC 0.6611 nDCG@5 0.5323) | 3.5s
  [bpr_pairwise] epoch 34 | valid primary 0.5962 (GAUC 0.6604 nDCG@5 0.5321) | 3.5s
  [bpr_pairwise] epoch 35 | valid primary 0.5953 (GAUC 0.6591 nDCG@5 0.5316) | 3.5s
  [bpr_pairwise] epoch 36 | valid primary 0.5945 (GAUC 0.6579 nDCG@5 0.5310) | 3.5s
  [bpr_pairwise] epoch 37 | valid primary 0.5933 (GAUC 0.6567 nDCG@5 0.5300) | 3.5s
  [bpr_pairwise] epoch 38 | valid primary 0.5931 (GAUC 0.6560 nDCG@5 0.5301) | 3.6s
  [bpr_pairwise] epoch 39 | valid primary 0.5920 (GAUC 0.6544 nDCG@5 0.5297) | 3.5s
  [bpr_pairwise] epoch 40 | valid primary 0.5911 (GAUC 0.6531 nDCG@5 0.5290) | 3.5s
  [bpr_pairwise] epoch 41 | valid primary 0.5901 (GAUC 0.6517 nDCG@5 0.5285) | 3.5s
  [bpr_pairwise] epoch 42 | valid primary 0.5900 (GAUC 0.6514 nDCG@5 0.5285) | 3.6s
  [bpr_pairwise] epoch 43 | valid primary 0.5889 (GAUC 0.6499 nDCG@5 0.5278) | 3.5s
  [bpr_pairwise] epoch 44 | valid primary 0.5884 (GAUC 0.6491 nDCG@5 0.5277) | 3.5s
  [bpr_pairwise] epoch 45 | valid primary 0.5878 (GAUC 0.6484 nDCG@5 0.5273) | 3.5s
  [bpr_pairwise] epoch 46 | valid primary 0.5876 (GAUC 0.6480 nDCG@5 0.5272) | 3.5s
